YM,JOIN_SN,JOIN_SN_TYP,BIZ_SN,SCTR_CD,COM_SN,IS_ME,DLQ_CD_1,DLQ_CD_2,DLQ_RGST_DT,DLQ_RGST_AMT,DLQ_AMT,RLS_RSN_CD,RLS_DT
201810,221671,1,0,12,9518947,0,0801,0,201206,5400,0,00,000000
201907,25738,1,0,12,8050188,0,0801,0,201702,1000,0,00,000000
201908,1557161,1,0,12,7203538,0,0801,0,201409,10000,0,00,000000
201910,1422268,1,0,12,3905658,0,0601,0,201505,0,0,00,000000
201811,1581724,1,0,12,4966296,0,1301,0,201701,0,0,00,000000
201811,1274676,1,0,12,3713425,0,0801,0,201511,3700,0,00,000000
201908,411261,1,0,12,2518177,0,0801,0,201210,10000,0,00,000000
201907,1241221,1,0,12,8924410,0,0606,0,201312,0,0,00,000000
201901,1637480,1,0,12,3577426,0,0604,0,201308,0,0,00,000000
201807,1044526,1,0,12,3297179,0,0801,0,201705,10000,0,00,000000
201809,58022,1,0,12,887647,0,0601,0,201211,0,0,00,000000
201908,1717058,1,0,12,161091,0,0801,0,201903,10000,0,00,000000
201912,482085,1,0,12,5576822,0,1201,0,201511,0,0,00,000000
201807,1734207,1,0,12,7288917,0,0801,0,201703,1700,0,00,000000
201811,25738,1,0,12,7349844,0,0601,0,201604,0,0,00,000000
202001,1290415,1,0,12,3304923,0,1201,0,201606,0,0,00,000000
201806,941285,1,0,12,7569422,0,0601,0,201312,0,0,00,000000
201911,1043198,1,0,12,7473187,0,0801,0,201409,10000,0,00,000000
201806,1581724,1,0,12,4966296,0,1301,0,201701,0,0,00,000000
202001,1717058,1,0,12,814016,0,0801,0,201508,5000,0,00,000000
202006,157344,1,0,12,2116858,0,0801,0,201812,10000,0,00,000000
201905,25738,1,0,12,7349844,0,0601,0,201604,0,0,00,000000
201910,444855,1,0,12,4419611,0,1201,0,201711,0,0,00,000000
201906,1484582,1,0,12,3345425,0,0801,0,201301,10000,0,00,000000
201808,544169,1,0,12,4654818,0,0601,0,201708,0,0,00,000000
201809,947740,1,0,12,5991805,0,0601,0,201209,0,0,00,000000
201907,520646,1,0,12,6938271,0,0801,0,201809,3100,0,00,000000
201812,624179,1,0,12,4974721,0,0601,0,201504,0,0,00,000000
201809,911518,1,0,12,347099,0,0801,0,201603,1500,0,00,000000
202002,1801383,1,0,12,3695830,0,1201,0,201709,0,0,00,000000
201912,1588275,1,0,12,6306698,0,0801,0,201407,10000,0,00,000000
201904,25738,1,0,12,7349844,0,0601,0,201604,0,0,00,000000
201902,1018136,1,0,12,9315299,0,0601,0,201612,0,0,00,000000
201812,1637480,1,0,12,6934032,0,0601,0,201205,0,0,00,000000
202001,1734207,1,0,12,7288917,0,0801,0,201703,1700,0,00,000000
201908,25738,1,0,12,5152802,0,0604,0,201709,0,0,00,000000
201812,476973,1,0,12,7643094,0,1201,0,201710,0,0,00,000000
201808,1588275,1,0,12,6306698,0,0801,0,201407,10000,0,00,000000
202001,280824,1,0,12,9109029,0,0601,0,201312,0,0,00,000000
201808,570275,1,0,12,7866753,0,0801,0,201804,9400,0,00,000000
202002,928778,1,0,12,1427870,0,1201,0,201704,0,0,00,000000
202002,1274676,1,0,12,3713425,0,0801,0,201511,3700,0,00,000000
201903,959471,1,0,12,3992045,0,0801,0,201310,4400,0,00,000000
201912,1274676,1,0,12,3713425,0,0801,0,201511,3700,0,00,000000
201811,1018136,1,0,12,9315299,0,0601,0,201602,0,0,00,000000
201904,1344759,1,0,12,7214432,0,0801,0,201605,8500,0,00,000000
201810,1589211,1,0,12,9388693,0,0601,0,201202,0,0,00,000000
202004,570275,1,0,12,7866753,0,0801,0,201804,9400,0,00,000000
201811,433575,1,0,12,4819246,0,0601,0,201710,0,0,00,000000
201911,1344759,1,0,12,7214432,0,0801,0,201605,8500,0,00,000000
202005,1569844,1,0,12,4604587,0,0801,0,201606,10000,0,00,000000
201903,1018136,1,0,12,9315299,0,0601,0,201612,0,0,00,000000
201806,442848,1,0,12,726615,0,0601,0,201601,0,0,00,000000
201902,600192,1,0,12,8905496,0,0601,0,201601,0,0,00,000000
201904,458967,1,0,12,5034547,0,0801,0,201705,10000,0,00,000000
201905,1581724,1,0,12,9816869,0,0601,0,201701,0,0,00,000000
201904,58022,1,0,12,887647,0,0601,0,201211,0,0,00,000000
201903,70442,1,0,12,3526055,0,0601,0,201308,0,0,00,000000
201809,1802806,1,0,12,4316588,0,1201,0,201407,0,0,00,000000
201904,1581724,1,0,12,4966296,0,1301,0,201701,0,0,00,000000
202003,855491,1,0,12,8999480,0,1201,0,201712,0,0,00,000000
202006,482085,1,0,12,5576822,0,1201,0,201511,0,0,00,000000
201807,1589211,1,0,12,9388693,0,0601,0,201202,0,0,00,000000
202001,18917,1,0,12,2960864,0,0602,0,201907,0,0,00,000000
201807,833637,1,0,12,1092753,0,1201,0,201605,0,0,00,000000
201911,911518,1,0,12,347099,0,0801,0,201603,1500,0,00,000000
202006,300578,1,0,12,7681591,0,0801,0,201902,4000,0,00,000000
201909,1802679,1,0,12,9737952,0,0801,0,201606,3500,0,00,000000
201812,91979,1,0,12,9665656,0,1201,0,201405,0,0,00,000000
201905,108250,1,0,12,5173768,0,0801,0,201812,2200,0,00,000000
202002,1588275,1,0,12,6306698,0,0801,0,201407,10000,0,00,000000
201808,58022,1,0,12,887647,0,0601,0,201211,0,0,00,000000
202002,334088,1,0,12,820162,0,0601,0,201703,0,0,00,000000
201903,157344,1,0,12,2116858,0,0801,0,201812,10000,0,00,000000
201809,1717058,1,0,12,814016,0,0801,0,201508,5000,0,00,000000
201903,1241221,1,0,12,8924410,0,0606,0,201312,0,0,00,000000
201911,1444027,1,0,12,8357504,0,0606,0,201404,0,0,00,000000
202006,442328,1,0,12,5466203,0,1201,0,201707,0,0,00,000000
202003,365766,1,0,12,266601,0,0801,0,201909,10000,0,00,000000
201806,280824,1,0,12,9109029,0,0601,0,201312,0,0,00,000000
201903,433575,1,0,12,4819246,0,0601,0,201710,0,0,00,000000
202006,1121897,1,0,12,4876836,0,0801,0,201310,8700,0,00,000000
202002,1027683,1,0,12,8716972,0,0801,0,201701,10000,0,00,000000
201806,1314347,1,0,12,7732648,0,0801,0,201607,10000,0,00,000000
201808,1557161,1,0,12,7203538,0,0801,0,201409,10000,0,00,000000
202001,1422268,1,0,12,3905658,0,0601,0,201505,0,0,00,000000
202001,544169,1,0,12,4654818,0,0601,0,201708,0,0,00,000000
201912,8630,1,0,12,2333012,0,0601,0,201902,0,0,00,000000
201905,947740,1,0,12,5991805,0,0601,0,201209,0,0,00,000000
201909,868921,1,0,12,2937154,0,0801,0,201809,1400,0,00,000000
202001,70442,1,0,12,3526055,0,0601,0,201308,0,0,00,000000
201806,686550,1,0,12,9493105,0,0801,0,201512,10000,0,00,000000
201812,520646,1,0,12,6938271,0,0801,0,201809,3100,0,00,000000
201806,1344759,1,0,12,7214432,0,0801,0,201605,8500,0,00,000000
201906,1717058,1,0,12,814016,0,0801,0,201508,5000,0,00,000000
202002,396184,1,0,12,6365008,0,1301,0,201903,0,0,00,000000
201811,1344759,1,0,12,7214432,0,0801,0,201605,8500,0,00,000000
202002,959471,1,0,12,3992045,0,0801,0,201310,4400,0,00,000000
201806,1777776,1,0,12,9089014,0,0601,0,201109,0,0,00,000000
201808,1717058,1,0,12,814016,0,0801,0,201508,5000,0,00,000000
202001,444855,1,0,12,4419611,0,1201,0,201711,0,0,00,000000
201811,91979,1,0,12,5735293,0,0604,0,201209,0,0,00,000000
201812,442848,1,0,12,726615,0,0601,0,201601,0,0,00,000000
201901,551054,1,0,12,2975110,0,0801,0,201209,4700,0,00,000000
201911,1871432,1,0,12,7360320,0,0801,0,201708,10000,0,00,000000
201904,1044526,1,0,12,3297179,0,0801,0,201705,10000,0,00,000000
202003,1290415,1,0,12,3304923,0,1201,0,201606,0,0,00,000000
201909,300578,1,0,12,7681591,0,0801,0,201902,4000,0,00,000000
201806,593747,1,0,12,6394911,0,0601,0,201312,0,0,00,000000
201906,520646,1,0,12,6938271,0,0801,0,201809,3100,0,00,000000
201811,633222,1,0,12,7719702,0,1301,0,201410,0,0,00,000000
202002,1344759,1,0,12,7214432,0,0801,0,201605,8500,0,00,000000
201912,570275,1,0,12,7866753,0,0801,0,201804,9400,0,00,000000
202002,831130,1,0,12,1306323,0,1101,0,201811,0,0,00,000000
201912,1817113,1,0,12,6390468,0,0801,0,201904,5100,0,00,000000
201905,959471,1,0,12,3992045,0,0801,0,201310,4400,0,00,000000
201811,890200,1,0,12,6000565,0,0801,0,201408,10000,0,00,000000
201807,105866,1,0,12,5678044,0,0601,0,201110,0,0,00,000000
201909,334088,1,0,12,820162,0,0601,0,201810,0,0,00,000000
201906,195202,1,0,12,7639660,0,1201,0,201511,0,0,00,000000
201906,569306,1,0,12,2069052,0,1301,0,201412,0,0,00,000000
201903,25738,1,0,12,7349844,0,0601,0,201604,0,0,00,000000
201806,1589211,1,0,12,9388693,0,0601,0,201202,0,0,00,000000
201907,901612,1,0,12,8017200,0,0801,0,201209,3100,0,00,000000
201908,569306,1,0,12,2069052,0,1301,0,201412,0,0,00,000000
201806,1540323,1,0,12,7647590,0,0601,0,201111,0,0,00,000000
202004,1343421,1,0,12,5897252,0,0801,0,201503,5100,0,00,000000
202002,593747,1,0,12,6394911,0,0601,0,201312,0,0,00,000000
201909,544169,1,0,12,4654818,0,0601,0,201511,0,0,00,000000
201903,1637480,1,0,12,6934032,0,0601,0,201205,0,0,00,000000
201902,1581724,1,0,12,9816869,0,0601,0,201701,0,0,00,000000
201807,767542,1,0,12,4754848,0,0601,0,201204,0,0,00,000000
201807,860177,1,0,12,6664966,0,0801,0,201512,7800,0,00,000000
201906,25738,1,0,12,7349844,0,0601,0,201604,0,0,00,000000
201906,1777776,1,0,12,102371,0,0801,0,201901,1000,0,00,000000
202002,600192,1,0,12,8905496,0,0601,0,201601,0,0,00,000000
201908,1717058,1,0,12,814016,0,0801,0,201508,5000,0,00,000000
201909,1871432,1,0,12,7360320,0,0801,0,201709,4400,0,00,000000
201908,280824,1,0,12,9109029,0,0601,0,201312,0,0,00,000000
202002,157344,1,0,12,2116858,0,0801,0,201812,10000,0,00,000000
201901,609813,1,0,12,9937118,0,0604,0,201709,0,0,00,000000
201902,947740,1,0,12,5991805,0,0601,0,201209,0,0,00,000000
201910,280824,1,0,12,9109029,0,0601,0,201312,0,0,00,000000
202006,1802679,1,0,12,9737952,0,0801,0,201606,3500,0,00,000000
201807,411261,1,0,12,2518177,0,0801,0,201210,10000,0,00,000000
201812,1734207,1,0,12,7288917,0,0801,0,201703,1700,0,00,000000
202005,959471,1,0,12,3992045,0,0801,0,201310,4400,0,00,000000
201912,1344759,1,0,12,7214432,0,0801,0,201605,8500,0,00,000000
201906,1290415,1,0,12,3304923,0,1201,0,201606,0,0,00,000000
201912,1083759,1,0,12,8290991,0,1201,0,201601,0,0,00,000000
201908,901612,1,0,12,8017200,0,0801,0,201302,2200,0,00,000000
201904,1801383,1,0,12,3695830,0,1201,0,201709,0,0,00,000000
202002,70442,1,0,12,3526055,0,0601,0,201308,0,0,00,000000
202001,833637,1,0,12,1092753,0,1201,0,201605,0,0,00,000000
202002,482085,1,0,12,5576822,0,1201,0,201511,0,0,00,000000
201810,520646,1,0,12,6938271,0,0801,0,201809,3100,0,00,000000
201912,1121897,1,0,12,4876836,0,0801,0,201310,8700,0,00,000000
201902,941285,1,0,12,7569422,0,0601,0,201405,0,0,00,000000
201904,544169,1,0,12,4654818,0,0601,0,201511,0,0,00,000000
201811,476973,1,0,12,7643094,0,1201,0,201710,0,0,00,000000
201905,1801383,1,0,12,3695830,0,1201,0,201709,0,0,00,000000
201810,195202,1,0,12,7639660,0,1201,0,201511,0,0,00,000000
201811,941285,1,0,12,7569422,0,0601,0,201405,0,0,00,000000
201912,338613,1,0,12,3740819,0,1101,0,201908,0,0,00,000000
202004,442328,1,0,12,5466203,0,1201,0,201707,0,0,00,000000
201808,193724,1,0,12,5456678,0,0601,0,201802,0,0,00,000000
201906,837720,1,0,12,2515017,0,1101,0,201902,0,0,00,000000
201811,544169,1,0,12,4654818,0,0601,0,201708,0,0,00,000000
201911,1241221,1,0,12,9596539,0,1201,0,201712,0,0,00,000000
202004,70442,1,0,12,3526055,0,0601,0,201308,0,0,00,000000
202003,25738,1,0,12,8050188,0,0801,0,201702,1000,0,00,000000
201909,1121897,1,0,12,4876836,0,0801,0,201310,8700,0,00,000000
201903,1484582,1,0,12,3345425,0,0801,0,201301,10000,0,00,000000
201902,544169,1,0,12,4654818,0,0601,0,201511,0,0,00,000000
202006,1027683,1,0,12,8716972,0,0801,0,201701,10000,0,00,000000
201909,25738,1,0,12,7349844,0,0601,0,201604,0,0,00,000000
201904,334088,1,0,12,820162,0,0601,0,201703,0,0,00,000000
202001,1777776,1,0,12,102371,0,0801,0,201804,1100,0,00,000000
201806,1871432,1,0,12,7360320,0,0801,0,201708,10000,0,00,000000
201906,868921,1,0,12,2937154,0,0801,0,201809,1400,0,00,000000
201907,108250,1,0,12,5173768,0,0801,0,201812,2200,0,00,000000
202003,593747,1,0,12,6394911,0,0601,0,201312,0,0,00,000000
201810,442848,1,0,12,726615,0,0601,0,201601,0,0,00,000000
202003,482085,1,0,12,5576822,0,1201,0,201511,0,0,00,000000
201912,593747,1,0,12,6394911,0,0601,0,201312,0,0,00,000000
201902,433575,1,0,12,4819246,0,0601,0,201710,0,0,00,000000
201901,551054,1,0,12,2605268,0,1201,0,201709,0,0,00,000000
201810,398480,1,0,12,1720117,0,0801,0,201202,10000,0,00,000000
202004,1018136,1,0,12,6967879,0,0801,0,201906,4000,0,00,000000
201808,70442,1,0,12,3526055,0,0601,0,201308,0,0,00,000000
202006,593747,1,0,12,6394911,0,0601,0,201312,0,0,00,000000
202004,1871432,1,0,12,7360320,0,0801,0,201709,4400,0,00,000000
201812,544169,1,0,12,4654818,0,0601,0,201511,0,0,00,000000
201809,193724,1,0,12,6002037,0,1201,0,201401,0,0,00,000000
201912,300578,1,0,12,7681591,0,0801,0,201902,4000,0,00,000000
202001,283778,1,0,12,1555216,0,0801,0,201901,1600,0,00,000000
201908,442848,1,0,12,726615,0,0601,0,201601,0,0,00,000000
202005,433575,1,0,12,4819246,0,0601,0,201710,0,0,00,000000
201901,1241221,1,0,12,9596539,0,1201,0,201712,0,0,00,000000
201904,58022,1,0,12,887647,0,0601,0,201211,0,0,00,000000
201908,1274676,1,0,12,3713425,0,0801,0,201511,3700,0,00,000000
201812,1422268,1,0,12,3905658,0,0601,0,201505,0,0,00,000000
201910,544169,1,0,12,4654818,0,0601,0,201511,0,0,00,000000
201902,91979,1,0,12,9665656,0,1201,0,201405,0,0,00,000000
201912,25738,1,0,12,8050188,0,0801,0,201702,1000,0,00,000000
201903,593747,1,0,12,6394911,0,0601,0,201312,0,0,00,000000
202001,901612,1,0,12,8017200,0,0801,0,201302,2200,0,00,000000
201812,868921,1,0,12,2937154,0,0801,0,201809,1400,0,00,000000
201907,833637,1,0,12,1092753,0,1201,0,201605,0,0,00,000000
201810,334088,1,0,12,820162,0,0601,0,201703,0,0,00,000000
201910,442328,1,0,12,5466203,0,1201,0,201707,0,0,00,000000
201901,25738,1,0,12,7349844,0,0601,0,201604,0,0,00,000000
201902,180761,1,0,12,6364071,0,1201,0,201705,0,0,00,000000
201905,433575,1,0,12,4819246,0,0601,0,201710,0,0,00,000000
201806,1274676,1,0,12,3713425,0,0801,0,201511,3700,0,00,000000
201812,91979,1,0,12,5735293,0,0604,0,201209,0,0,00,000000
201905,1083759,1,0,12,8290991,0,1201,0,201601,0,0,00,000000
201908,570275,1,0,12,7866753,0,0801,0,201804,9400,0,00,000000
201806,1083759,1,0,12,8290991,0,1201,0,201601,0,0,00,000000
201906,593747,1,0,12,6394911,0,0601,0,201312,0,0,00,000000
201904,928778,1,0,12,1427870,0,1201,0,201704,0,0,00,000000
202004,959471,1,0,12,3992045,0,0801,0,201310,4400,0,00,000000
201901,1290415,1,0,12,3304923,0,1201,0,201606,0,0,00,000000
201902,692983,1,0,12,6207258,0,0601,0,201306,0,0,00,000000
201810,868921,1,0,12,2937154,0,0801,0,201809,1400,0,00,000000
201812,1588275,1,0,12,6306698,0,0801,0,201407,10000,0,00,000000
201812,411261,1,0,12,2518177,0,0801,0,201210,10000,0,00,000000
201903,868921,1,0,12,2937154,0,0801,0,201809,1400,0,00,000000
201911,1588275,1,0,12,6306698,0,0801,0,201407,10000,0,00,000000
201806,1557161,1,0,12,7203538,0,0801,0,201409,10000,0,00,000000
201809,1121897,1,0,12,4876836,0,0801,0,201310,8700,0,00,000000
201908,1109501,1,0,12,7388699,0,0801,0,201405,10000,0,00,000000
201908,1018136,1,0,12,6967879,0,0801,0,201906,4000,0,00,000000
201910,1018136,1,0,12,9315299,0,0601,0,201602,0,0,00,000000
201909,442328,1,0,12,9728207,0,0601,0,201311,0,0,00,000000
202001,1801383,1,0,12,3695830,0,1201,0,201709,0,0,00,000000
201810,433575,1,0,12,4819246,0,0601,0,201710,0,0,00,000000
201901,520646,1,0,12,6938271,0,0801,0,201809,3100,0,00,000000
201812,1083759,1,0,12,8290991,0,1201,0,201601,0,0,00,000000
201904,157344,1,0,12,2116858,0,0801,0,201812,10000,0,00,000000
202002,280824,1,0,12,9109029,0,0601,0,201312,0,0,00,000000
201902,442328,1,0,12,5466203,0,1201,0,201707,0,0,00,000000
201902,569306,1,0,12,2069052,0,1301,0,201412,0,0,00,000000
201907,901612,1,0,12,8017200,0,0801,0,201302,2200,0,00,000000
201812,941285,1,0,12,7569422,0,0601,0,201312,0,0,00,000000
202006,25738,1,0,12,8050188,0,0801,0,201702,1000,0,00,000000
201812,1581724,1,0,12,9816869,0,0601,0,201701,0,0,00,000000
201902,1717058,1,0,12,814016,0,0801,0,201508,5000,0,00,000000
201912,433575,1,0,12,4819246,0,0601,0,201710,0,0,00,000000
201903,1043198,1,0,12,7473187,0,0801,0,201409,10000,0,00,000000
201912,442328,1,0,12,9728207,0,0601,0,201311,0,0,00,000000
201810,1734207,1,0,12,7288917,0,0801,0,201703,1700,0,00,000000
201901,569306,1,0,12,2069052,0,1301,0,201412,0,0,00,000000
202003,396184,1,0,12,6365008,0,1301,0,201903,0,0,00,000000
201809,544169,1,0,12,4654818,0,0601,0,201511,0,0,00,000000
201812,39423,1,0,12,5827124,0,0801,0,201506,1000,0,00,000000
201809,91979,1,0,12,9665656,0,1201,0,201405,0,0,00,000000
201910,1753399,1,0,12,1596133,0,0601,0,201902,0,0,00,000000
201908,39423,1,0,12,5827124,0,0801,0,201506,1000,0,00,000000
201907,928778,1,0,12,1427870,0,1201,0,201704,0,0,00,000000
202006,520646,1,0,12,6938271,0,0801,0,201809,3100,0,00,000000
201911,1569844,1,0,12,4604587,0,0801,0,201606,10000,0,00,000000
201902,1581724,1,0,12,4966296,0,1301,0,201701,0,0,00,000000
202003,1777776,1,0,12,102371,0,0801,0,201901,1000,0,00,000000
201806,1044526,1,0,12,3297179,0,0801,0,201705,10000,0,00,000000
201911,433575,1,0,12,4819246,0,0601,0,201710,0,0,00,000000
201902,1802679,1,0,12,9737952,0,0801,0,201606,3500,0,00,000000
202005,482085,1,0,12,5576822,0,1201,0,201511,0,0,00,000000
201905,476973,1,0,12,7643094,0,1201,0,201710,0,0,00,000000
202003,860177,1,0,12,6664966,0,0801,0,201512,7800,0,00,000000
201908,1043198,1,0,12,7473187,0,0801,0,201409,10000,0,00,000000
201812,1802679,1,0,12,9737952,0,0801,0,201606,3500,0,00,000000
201810,421279,1,0,12,6749131,0,1201,0,201410,0,0,00,000000
201908,25738,1,0,12,7349844,0,0601,0,201604,0,0,00,000000
202005,1871432,1,0,12,7360320,0,0801,0,201709,4400,0,00,000000
202005,1753399,1,0,12,254515,0,0801,0,201910,1000,0,00,000000
202004,624179,1,0,12,4974721,0,0601,0,201804,0,0,00,000000
201906,283778,1,0,12,1555216,0,0801,0,201901,1600,0,00,000000
201901,1557161,1,0,12,7203538,0,0801,0,201409,10000,0,00,000000
201910,283778,1,0,12,1555216,0,0801,0,201901,1600,0,00,000000
201806,1018136,1,0,12,9305353,0,0606,0,201309,0,0,00,000000
201807,1314347,1,0,12,7732648,0,0801,0,201607,10000,0,00,000000
201904,1109501,1,0,12,7388699,0,0801,0,201405,10000,0,00,000000
201809,91979,1,0,12,5735293,0,0604,0,201209,0,0,00,000000
202006,544169,1,0,12,4654818,0,0601,0,201708,0,0,00,000000
201911,593747,1,0,12,6394911,0,0601,0,201312,0,0,00,000000
202003,544169,1,0,12,4654818,0,0601,0,201511,0,0,00,000000
202003,1121897,1,0,12,4876836,0,0801,0,201310,8700,0,00,000000
201911,837720,1,0,12,2515017,0,1101,0,201902,0,0,00,000000
201809,1109501,1,0,12,7388699,0,0801,0,201405,10000,0,00,000000
202005,837720,1,0,12,2515017,0,1101,0,201902,0,0,00,000000
201901,570275,1,0,12,7866753,0,0801,0,201804,9400,0,00,000000
201910,692983,1,0,12,6207258,0,0601,0,201306,0,0,00,000000
201906,1717058,1,0,12,161091,0,0801,0,201903,10000,0,00,000000
201905,520646,1,0,12,6938271,0,0801,0,201809,3100,0,00,000000
202003,334088,1,0,12,820162,0,0601,0,201810,0,0,00,000000
201807,941285,1,0,12,7569422,0,0601,0,201405,0,0,00,000000
201808,1027683,1,0,12,8716972,0,0801,0,201701,10000,0,00,000000
202002,1044526,1,0,12,3297179,0,0801,0,201705,10000,0,00,000000
201905,860177,1,0,12,6664966,0,0801,0,201512,7800,0,00,000000
201808,1520245,1,0,12,2681136,0,1201,0,201411,0,0,00,000000
201905,180761,1,0,12,6364071,0,1201,0,201705,0,0,00,000000
201910,1083759,1,0,12,8290991,0,1201,0,201601,0,0,00,000000
201908,1314347,1,0,12,7732648,0,0801,0,201607,10000,0,00,000000
201906,1802806,1,0,12,4316588,0,1201,0,201407,0,0,00,000000
201808,180761,1,0,12,6364071,0,1201,0,201705,0,0,00,000000
202006,433575,1,0,12,4819246,0,0601,0,201710,0,0,00,000000
201909,421279,1,0,12,6749131,0,1201,0,201410,0,0,00,000000
201903,1581724,1,0,12,9816869,0,0601,0,201701,0,0,00,000000
201810,911518,1,0,12,347099,0,0801,0,201603,1500,0,00,000000
202002,544169,1,0,12,4654818,0,0601,0,201511,0,0,00,000000
201909,334088,1,0,12,820162,0,0601,0,201703,0,0,00,000000
202003,1817113,1,0,12,6390468,0,0801,0,201904,5100,0,00,000000
201910,365766,1,0,12,266601,0,0801,0,201909,10000,0,00,000000
201906,1676639,1,0,12,9212469,0,1201,0,201411,0,0,00,000000
202006,283778,1,0,12,1555216,0,0801,0,201901,1600,0,00,000000
201809,901612,1,0,12,8017200,0,0801,0,201302,2200,0,00,000000
201905,928778,1,0,12,1427870,0,1201,0,201704,0,0,00,000000
201811,1569844,1,0,12,4604587,0,0801,0,201606,10000,0,00,000000
201909,411261,1,0,12,2518177,0,0801,0,201210,10000,0,00,000000
202001,593747,1,0,12,6394911,0,0601,0,201312,0,0,00,000000
202001,1018136,1,0,12,6967879,0,0801,0,201906,4000,0,00,000000
201811,551054,1,0,12,2605268,0,1201,0,201709,0,0,00,000000
201810,890200,1,0,12,6000565,0,0801,0,201408,10000,0,00,000000
201907,70442,1,0,12,3526055,0,0601,0,201902,0,0,00,000000
201901,280824,1,0,12,9109029,0,0601,0,201312,0,0,00,000000
201812,195202,1,0,12,7639660,0,1201,0,201511,0,0,00,000000
201808,1018136,1,0,12,9315299,0,0601,0,201602,0,0,00,000000
201812,1018136,1,0,12,2466357,0,0801,0,201207,10000,0,00,000000
201812,890200,1,0,12,6000565,0,0801,0,201408,10000,0,00,000000
201902,39423,1,0,12,5827124,0,0801,0,201506,1000,0,00,000000
201810,280824,1,0,12,9109029,0,0601,0,201312,0,0,00,000000
201904,195202,1,0,12,7639660,0,1201,0,201511,0,0,00,000000
201812,1589211,1,0,12,9388693,0,0601,0,201202,0,0,00,000000
202003,39423,1,0,12,5827124,0,0801,0,201506,1000,0,00,000000
202006,1871432,1,0,12,7360320,0,0801,0,201709,4400,0,00,000000
201903,911518,1,0,12,347099,0,0801,0,201603,1500,0,00,000000
201908,334088,1,0,12,820162,0,0601,0,201703,0,0,00,000000
202005,1422268,1,0,12,3905658,0,0601,0,201505,0,0,00,000000
201903,692983,1,0,12,6207258,0,0601,0,201306,0,0,00,000000
201905,544169,1,0,12,4654818,0,0601,0,201708,0,0,00,000000
201901,1018136,1,0,12,9315299,0,0601,0,201602,0,0,00,000000
202003,280824,1,0,12,9109029,0,0601,0,201312,0,0,00,000000
202003,1018136,1,0,12,9315299,0,0601,0,201612,0,0,00,000000
201908,1344759,1,0,12,7214432,0,0801,0,201605,8500,0,00,000000
202005,593747,1,0,12,6394911,0,0601,0,201312,0,0,00,000000
201909,1344759,1,0,12,7214432,0,0801,0,201605,8500,0,00,000000
201905,25738,1,0,12,8050188,0,0801,0,201702,1000,0,00,000000
201811,1588275,1,0,12,6306698,0,0801,0,201407,10000,0,00,000000
201809,1637480,1,0,12,3577426,0,0604,0,201308,0,0,00,000000
201904,959471,1,0,12,3992045,0,0801,0,201310,4400,0,00,000000
201806,1802679,1,0,12,9737952,0,0801,0,201606,3500,0,00,000000
201911,551054,1,0,12,2605268,0,1201,0,201709,0,0,00,000000
202005,1314347,1,0,12,7732648,0,0801,0,201607,10000,0,00,000000
201903,25738,1,0,12,5152802,0,0604,0,201709,0,0,00,000000
201903,600192,1,0,12,8905496,0,0601,0,201601,0,0,00,000000
201809,1314347,1,0,12,7732648,0,0801,0,201607,10000,0,00,000000
201904,1027683,1,0,12,8716972,0,0801,0,201701,10000,0,00,000000
201907,1241221,1,0,12,9596539,0,1201,0,201712,0,0,00,000000
201806,58022,1,0,12,887647,0,0601,0,201211,0,0,00,000000
