YM,JOIN_SN,JOIN_SN_TYP,SCTR_CD,COM_SN,IS_ME,BRWR_LN_CD,RPT_CD,LN_ACCT_CD,LN_AMT
201906,139859,3,03,9882915,0,1,32,600,550000
201812,1767317,3,12,561895,0,1,31,330,240000
201911,488162,3,01,559570,0,1,31,610,18000
201810,1749120,1,12,679590,0,1,31,302,10000
202006,196429,3,01,9495850,0,1,31,690,280000
201904,1202472,3,01,840637,0,1,31,690,47000
202004,660017,1,12,5853028,0,1,31,690,36000
202003,1151833,1,01,3566978,0,1,31,105,120000
201903,1885781,1,01,7265139,0,1,32,713,14000
201904,1193489,1,05,1375533,0,1,31,690,2400
201811,1749120,1,01,5511412,0,1,31,105,10000
201912,1473488,1,12,5863772,0,1,31,390,13000
201811,1957691,3,01,1321865,0,1,31,690,830000
201902,1890736,1,12,3310305,0,1,31,302,20000
201910,296279,1,01,1859212,0,1,31,690,1000000
201810,1767206,3,17,8502036,0,1,31,690,120000
202001,1681573,1,01,3741570,0,1,31,190,210000
201806,1790001,1,01,1958402,0,1,32,600,4000
202005,1103380,1,12,8505111,0,1,31,650,18000
201909,1026169,1,12,9346979,0,1,31,650,8000
202005,1425114,3,12,6801745,0,1,31,690,1100000
201908,56514,3,17,3946592,0,1,31,610,1100
201909,1151833,1,01,3566978,0,1,31,105,160000
202002,27166,1,01,1178787,0,1,31,610,200000
201907,879694,3,12,5256875,0,1,31,190,29000
201912,735882,1,01,7102580,0,1,31,690,8000
201902,1693150,1,01,1281611,0,1,31,610,14000
202001,1701857,3,17,1516997,0,1,31,610,3300
201909,521858,3,03,5526328,0,1,31,106,440000
201807,1321668,3,01,4520449,0,1,31,610,70000
201812,523121,3,12,8769690,0,1,31,640,120000
201908,225231,3,12,3827258,0,1,31,610,61000
201904,443249,1,01,5215354,0,1,31,190,1600
201902,1049432,1,01,4403412,0,1,31,409,2200
201809,247649,3,01,1529391,0,1,31,130,350000
202003,521858,3,03,5526328,0,1,31,106,440000
201907,1271335,1,12,9755150,0,1,31,640,2100
201809,744348,1,05,5953722,0,1,31,650,1300
202004,1767206,3,12,5551165,0,1,31,640,2200
201911,18917,1,12,6518856,0,1,31,690,4500
202002,678955,3,12,7294598,0,1,31,640,6600
201812,186139,3,12,7718444,0,1,31,390,17000
201904,1905711,3,01,2285873,0,1,31,690,550000
201909,1770342,3,12,9131584,0,1,31,307,2600
201911,1603757,3,12,9220926,0,1,31,390,8000
201807,225231,3,17,2344285,0,1,31,190,5500
201910,523121,3,12,8634819,0,1,31,120,240000
201908,1120205,3,01,783271,0,1,31,690,2200
201911,1134698,1,12,1772402,0,1,31,640,24000
201905,1451557,1,01,3615416,0,1,31,610,470000
201912,1836832,1,12,5102725,0,1,31,390,2400
201912,1736116,1,01,1930584,0,1,31,610,34000
202003,488162,3,12,3567652,0,1,31,390,18000
201808,520912,1,01,8626236,0,1,31,610,40000
202005,824891,3,12,2479573,0,1,31,640,6000
202003,1957691,3,10,2146684,0,1,31,690,480000
201909,488162,3,12,3567652,0,1,31,640,18000
201909,1918155,1,12,258163,0,1,31,690,16000
201807,562949,3,01,9179326,0,1,31,190,540000
202002,247649,3,12,6143035,0,1,31,640,39000
201911,1042003,3,12,6903330,0,1,31,640,8000
201907,247649,3,01,1529391,0,1,32,600,18000
201910,1044997,1,01,4812205,0,1,31,610,290000
201905,448430,1,01,9938442,0,1,31,690,150000
201807,139859,3,03,9882915,0,1,31,190,550000
201909,696589,1,12,1181052,0,1,31,640,18000
202001,561491,3,12,2672881,0,1,31,640,30000
201903,523121,3,01,9023067,0,1,31,690,240000
202001,1151833,1,01,3566978,0,1,31,130,330000
201808,131772,1,01,1143841,0,1,31,105,9000
201911,879694,3,12,5256875,0,1,31,610,29000
202006,1282652,3,01,8552691,0,1,31,351,940000
202001,620024,1,05,108385,0,1,31,407,2400
202002,1890736,1,12,3310305,0,1,31,640,20000
202005,1269321,1,01,3471746,0,1,31,690,240000
201902,1044997,1,01,4812205,0,1,31,130,300000
202002,678955,3,01,9631226,0,1,31,490,5500
201912,1881764,3,12,9653112,0,1,31,401,10000
202003,1796281,1,01,4459401,0,1,31,105,80000
201808,968019,1,12,2624941,0,1,31,640,29000
201905,509412,3,01,7391650,0,1,31,129,130000
201912,1061397,1,01,9041468,0,1,31,610,72000
201809,1796281,1,01,4459401,0,1,31,409,1600
201909,1736116,1,01,1930584,0,1,31,105,37000
201904,443249,1,21,9061580,0,1,31,690,1000
201910,678955,3,12,838136,0,1,31,640,99000
201908,875598,3,12,1196790,0,1,31,690,1800
202003,1151833,1,01,3566978,0,1,31,190,320000
201807,1693150,1,01,1281611,0,1,31,610,14000
201909,1350001,1,12,257292,0,1,31,640,67000
202005,214754,1,16,5377844,0,1,31,190,44000
201807,1362091,1,01,8199264,0,1,31,190,7700
201811,225231,3,17,2344285,0,1,31,189,4400
202006,569306,1,12,3899673,0,1,31,407,18000
201906,1350001,1,12,257292,0,1,31,640,67000
201911,1611369,1,03,899138,0,1,31,106,80000
201902,1669274,3,01,9000554,0,1,31,409,3300
202006,1295279,1,01,1471178,0,1,31,105,14000
202006,1148073,1,12,3584809,0,1,31,390,14000
201809,1204091,1,01,8236412,0,1,31,105,16000
201812,27166,1,12,4119584,0,1,31,690,200000
201904,561491,3,12,2672881,0,1,31,307,47000
201911,1216286,1,01,2645028,0,1,31,130,18000
201903,1622212,1,01,6090589,0,1,31,107,220000
201906,488162,3,01,2210181,0,1,31,690,1000
201810,1603757,3,01,3305716,0,1,31,190,24000
201901,1710045,3,01,1689036,0,1,31,190,22000
202004,1475660,1,03,1835998,0,1,31,190,1000000
202006,565398,1,01,867700,0,1,31,105,7200
201903,562949,3,12,8807834,0,1,31,301,130000
201808,448430,1,01,9938442,0,1,31,610,160000
202004,1537081,1,17,1917103,0,1,31,610,43000
201902,1193489,1,01,878248,0,1,31,650,2400
202004,1475660,1,03,1835998,0,1,31,104,1000000
201812,1669274,3,12,3529421,0,1,31,610,550000
201908,1026169,1,12,9346979,0,1,31,650,8000
202006,1374840,1,01,3694442,0,1,31,650,2400
201812,1355225,1,03,4104603,0,1,31,690,20000
201908,534841,1,01,1831456,0,1,31,105,5400
202003,1202472,3,01,840637,0,1,31,105,18000
201902,1562202,3,01,2781837,0,1,31,105,470000
201911,1562202,3,01,2781837,0,1,31,690,500000
201808,1535076,3,12,5792252,0,1,31,307,360000
201907,483277,1,12,2038328,0,1,31,640,1600
202004,311430,1,21,4394755,0,1,31,610,9000
201901,27166,1,01,1178787,0,1,31,130,200000
201812,1122850,3,12,6815533,0,1,31,307,9000
201907,684744,3,01,1734438,0,1,31,409,9600
201909,1831438,3,01,25432,0,1,32,713,240000
202003,562949,3,01,98700,0,1,31,130,110000
202005,1089470,3,12,9962156,0,1,31,390,200000
201811,1295279,1,05,3716483,0,1,31,650,1000
202006,1767782,1,01,3046512,0,1,31,190,28000
201910,1681573,1,12,1950668,0,1,31,302,27000
201902,1865595,1,05,3420013,0,1,31,650,1200
201906,1918155,1,12,258163,0,1,31,407,16000
201908,1656281,3,12,1579337,0,1,31,307,70000
201911,1031857,1,01,6845432,0,1,31,105,270000
201907,548990,1,01,8426296,0,1,31,610,1000000
202002,1736116,1,01,1948056,0,1,32,713,24000
201905,214728,1,03,6001824,0,1,31,106,590000
201912,247649,3,01,1529391,0,1,32,713,18000
201909,1295279,1,01,1471178,0,1,31,690,14000
201901,1564541,1,12,8563093,0,1,31,302,13000
201807,509412,3,12,7411919,0,1,31,307,27000
201810,660017,1,01,9835275,0,1,31,610,36000
202004,1603757,3,12,6740567,0,1,31,640,21000
201810,1767317,3,01,1217926,0,1,31,690,630000
201903,488162,3,01,2210181,0,1,31,409,1000
201906,1135132,1,12,8465695,0,1,31,690,18000
202001,1122850,3,12,6815533,0,1,31,690,11000
202002,1475660,1,03,1835998,0,1,31,610,1000000
202006,1134698,1,01,3809621,0,1,31,610,24000
201905,1106537,1,12,7847696,0,1,31,650,1100
202003,247649,3,12,1252471,0,1,31,690,280000
202002,1475660,1,03,1835998,0,1,32,600,1000000
201907,1767206,3,01,7404454,0,1,31,105,3200000
201909,1918550,3,12,13920,0,1,31,301,90000
201911,247649,3,12,6143035,0,1,31,690,39000
202006,1767206,3,17,2966034,0,1,31,190,1100
201902,1515854,3,01,1264989,0,1,31,690,3600
202001,24559,1,01,3127417,0,1,31,690,8000
201901,1294229,1,12,1189439,0,1,31,390,11000
201904,1749120,1,17,8589754,0,1,31,190,150000
201811,1011062,1,12,2216822,0,1,31,690,21000
201908,523121,3,12,8769690,0,1,31,690,120000
201909,1068347,3,01,5669785,0,1,31,610,18000
201906,139859,3,17,6985461,0,1,31,190,7700
201811,196429,3,01,8747283,0,1,31,650,1200
201911,1786001,3,01,9020747,0,1,31,130,290000
201912,1957691,3,10,4804017,0,1,31,231,1900000
201906,1515854,3,01,1264989,0,1,31,650,2700
202003,735882,1,01,7102580,0,1,31,190,6400
201906,1044997,1,01,4812205,0,1,32,713,56000
202006,1661071,1,12,8345097,0,1,31,302,39000
201911,1786001,3,01,1317267,0,1,32,713,54000
201905,1693150,1,01,1281611,0,1,31,130,14000
201807,1786001,3,12,1597728,0,1,31,307,1800
201908,1800444,1,01,4270876,0,1,32,713,130000
201812,443249,1,01,5215354,0,1,31,105,2400
201905,1894443,3,01,188539,0,1,31,107,10000000
201811,523121,3,17,8780187,0,1,31,690,24000
201904,1609154,1,03,2443643,0,1,31,690,12000
201904,696589,1,01,9379775,0,1,31,130,18000
201911,1562202,3,12,8994323,0,1,31,307,66000
201901,225231,3,16,9839418,0,1,31,690,6600
201911,1232803,3,12,3029185,0,1,31,390,250000
202003,1957691,3,10,229524,0,1,31,690,1700000
202002,1632317,1,01,2722164,0,1,31,690,600000
202006,561491,3,12,2672881,0,1,31,640,24000
202004,1133564,1,01,383009,0,1,31,130,140000
201806,27166,1,01,1178787,0,1,31,610,200000
202004,1068347,3,12,1366901,0,1,31,302,18000
202001,521858,3,03,5526328,0,1,31,610,440000
201907,968019,1,01,3102519,0,1,31,610,33000
201812,311430,1,21,858574,0,1,31,120,6300
201909,678955,3,12,7294598,0,1,31,690,19000
201902,145522,1,01,6932498,0,1,31,690,8000
201806,1153937,1,12,2125529,0,1,31,690,8000
201809,638087,1,17,5712322,0,1,31,610,1200
201912,1282652,3,01,8552691,0,1,31,610,6500000
201905,139859,3,03,9882915,0,1,31,610,550000
201807,1120205,3,01,783271,0,1,31,690,18000
201906,1350001,1,01,6207552,0,1,31,690,1000000
201903,678955,3,12,7294598,0,1,31,690,32000
201811,638087,1,17,5712322,0,1,31,142,1200
201911,1145660,1,01,9013772,0,1,31,107,11000
201909,382326,1,01,6192489,0,1,31,690,3600
201901,139859,3,01,7082268,0,1,31,650,2200
201909,1846014,3,12,8191177,0,1,31,640,18000
201912,696589,1,12,1181052,0,1,31,302,16000
202002,27166,1,01,1178787,0,1,31,490,1000
201812,1092071,3,17,7340767,0,1,31,190,17000
201912,1918550,3,12,13920,0,1,31,301,90000
201812,1836832,1,12,5102725,0,1,31,390,2400
201810,934212,1,21,6632803,0,1,31,610,20000
201902,1049432,1,01,6220145,0,1,31,130,55000
202002,1770235,1,01,925443,0,1,31,190,390000
201809,1669274,3,12,3529421,0,1,31,690,550000
201907,1136943,1,01,740928,0,1,31,610,590000
201910,1786001,3,01,9020747,0,1,31,610,330000
202006,980300,1,12,3821523,0,1,31,640,160000
201812,523121,3,01,8273403,0,1,32,717,120000
201907,1693150,1,01,1281611,0,1,31,130,14000
201806,562949,3,01,3666458,0,1,31,105,730000
202003,1135132,1,12,8465695,0,1,31,610,18000
202003,225231,3,12,3827258,0,1,31,390,190000
201809,1755463,1,01,9230026,0,1,31,190,300000
201905,1475660,1,01,7103481,0,1,31,190,47000
201912,1831438,3,01,1352169,0,1,31,490,1200
201904,357053,1,03,2629852,0,1,31,190,2700
201912,139859,3,01,7082268,0,1,31,650,1100
201911,225231,3,12,9841835,0,1,31,390,24000
201906,1041905,1,01,8171268,0,1,31,690,150000
201811,1030798,1,01,9295168,0,1,31,690,2400
201811,702594,1,21,7709147,0,1,31,120,6300
201903,1912559,1,01,2593767,0,1,31,610,290000
201811,1049432,1,21,7075550,0,1,31,190,53000
202004,1661071,1,01,9454112,0,1,31,105,39000
202002,1271335,1,12,9755150,0,1,31,390,2800
201809,446283,1,03,1020738,0,1,31,106,770000
201809,1804248,1,01,5544571,0,1,31,690,12000
201806,1681573,1,01,3741570,0,1,31,130,180000
201904,1755463,1,01,2659944,0,1,31,130,830000
201811,1232803,3,01,1203915,0,1,31,610,2400000
201904,678955,3,01,1921797,0,1,31,610,680000
201908,1603757,3,17,2249932,0,1,31,690,9600
201909,131772,1,01,1143841,0,1,31,190,9000
202004,1562202,3,01,2781837,0,1,31,105,480000
201810,1918550,3,12,5959351,0,1,31,690,90000
202002,214754,1,01,5435862,0,1,31,130,70000
201809,1681573,1,01,1030114,0,1,31,130,18000
201911,562949,3,01,9179326,0,1,32,713,120000
201808,139859,3,17,6985461,0,1,31,610,18000
201902,48331,3,05,6811085,0,1,31,650,1000
201901,1092071,3,17,7340767,0,1,31,610,17000
201907,1049432,1,01,4403412,0,1,31,690,2200
202001,1669274,3,01,1159123,0,1,31,107,490000
202001,1041905,1,01,8171268,0,1,31,690,150000
201812,1957691,3,01,6634673,0,1,31,620,2500000
201812,1204091,1,12,2461284,0,1,31,690,14000
201806,1767317,3,12,561895,0,1,31,390,240000
201908,357053,1,12,5469227,0,1,31,302,1800
202004,1796281,1,01,4459401,0,1,31,409,1000
202004,1282652,3,12,2256304,0,1,31,390,8800000
202001,1656281,3,01,1313819,0,1,31,490,1000
201906,1248250,1,01,5995868,0,1,31,130,17000
202001,1204091,1,12,2461284,0,1,31,302,14000
201905,1537081,1,12,9003596,0,1,31,330,13000
201901,700016,3,12,2520533,0,1,31,307,46000
201902,488162,3,12,3567652,0,1,31,690,18000
201902,534841,1,01,1831456,0,1,31,610,5400
202006,1271335,1,12,9755150,0,1,31,690,3500
201903,488162,3,01,2210181,0,1,32,500,2700
201809,1026169,1,12,9346979,0,1,31,407,8000
202004,1535076,3,12,5792252,0,1,31,307,210000
201908,1661071,1,01,9454112,0,1,31,190,39000
201911,1755463,1,01,2659944,0,1,31,690,830000
202004,62915,3,12,1703952,0,1,31,640,11000
201906,887817,3,17,2832203,0,1,31,690,40000
201808,1277348,1,12,1903721,0,1,31,640,31000
202004,41472,1,12,6080,0,1,31,640,12000
202003,1701857,3,17,1516997,0,1,31,610,3300
201912,1135132,1,12,8465695,0,1,31,190,18000
201910,1767782,1,12,652262,0,1,31,302,23000
201807,638087,1,17,5712322,0,1,31,610,2400
201908,1603757,3,12,9220926,0,1,31,690,8000
202006,1767782,1,01,3046512,0,1,31,690,28000
201911,1596246,1,01,9247835,0,1,32,600,29000
201902,1903378,1,12,5712104,0,1,31,330,72000
201806,1767317,3,12,561895,0,1,31,330,240000
202003,1475660,1,03,1835998,0,1,31,190,1000000
201904,1350001,1,01,6207552,0,1,31,690,1000000
201812,1831347,1,01,1879989,0,1,31,409,2200
202006,1767206,3,01,7404454,0,1,32,600,1600000
202006,77348,1,01,5052007,0,1,31,690,33000
201904,1925423,1,12,8382966,0,1,31,139,6300
201806,846811,1,01,3492670,0,1,31,105,64000
202004,1661071,1,16,8291574,0,1,31,690,1300
201904,1767317,3,01,1217926,0,1,32,713,200000
201912,548990,1,01,8426296,0,1,31,190,1000000
201807,1957691,3,10,9097164,0,1,31,231,1600000
202006,1831438,3,01,25432,0,1,31,690,1400000
201809,562949,3,01,9179326,0,1,31,105,560000
201807,1831438,3,05,9854092,0,1,31,650,4800
201907,919205,1,01,8324569,0,1,31,610,1000000
201904,1912903,1,03,1271071,0,1,32,600,1000000
201905,509412,3,12,7411919,0,1,31,640,820000
201807,225231,3,12,3827258,0,1,31,390,160000
201809,1669274,3,01,5647392,0,1,31,107,1100000
201908,1537081,1,17,1917103,0,1,31,190,53000
202001,600506,1,12,7586318,0,1,31,390,32000
201907,523121,3,12,8769690,0,1,31,390,120000
201806,1786001,3,01,1317267,0,1,31,690,180000
201909,1603757,3,17,2249932,0,1,31,610,9600
201912,1535081,1,01,8007339,0,1,31,190,39000
201906,1506226,1,01,1520264,0,1,31,610,87000
201906,1603757,3,17,2249932,0,1,31,190,10000
201902,562949,3,01,9179326,0,1,31,190,500000
201908,131772,1,01,1143841,0,1,31,105,9000
201808,620024,1,01,3909459,0,1,31,650,4000
201810,41472,1,12,6080,0,1,31,302,3500
202001,1796281,1,12,9937200,0,1,31,390,12000
201806,1767317,3,12,6883742,0,1,31,690,33000
202002,1831438,3,01,25432,0,1,32,600,240000
201811,1918550,3,12,774934,0,1,31,302,27000
202003,1918550,3,12,13920,0,1,31,301,90000
202003,1535076,3,16,1501755,0,1,31,690,6400
201810,1786001,3,12,1597728,0,1,31,390,1800
202004,1089470,3,01,6638779,0,1,31,105,33000
201806,1447738,3,12,1084181,0,1,31,390,4500
202003,1475660,1,03,1835998,0,1,31,690,1000000
201908,1092071,3,12,7480935,0,1,31,640,22000
201906,18917,1,12,6518856,0,1,31,302,5400
201907,1202472,3,12,2050566,0,1,31,390,26000
201912,1119319,1,12,6416585,0,1,31,640,250000
201807,1193489,1,12,2348823,0,1,31,407,16000
201909,357053,1,03,2629852,0,1,31,114,1800
201912,1535076,3,16,1501755,0,1,31,610,7200
202002,1611369,1,01,6417654,0,1,31,130,340000
201903,1770235,1,01,925443,0,1,31,409,1100
201906,1918550,3,01,3877778,0,1,31,610,27000
201810,1770235,1,01,925443,0,1,31,130,390000
201807,1145660,1,01,9013772,0,1,31,190,88000
201909,1271335,1,12,9755150,0,1,31,640,2800
201908,1145660,1,01,9013772,0,1,31,690,11000
202003,1216286,1,01,2645028,0,1,31,130,18000
201912,1031857,1,12,9850961,0,1,31,390,140000
202004,1786001,3,12,7843233,0,1,31,640,310000
202001,1890736,1,12,3310305,0,1,31,690,20000
201902,214728,1,03,6001824,0,1,31,690,740000
202002,824891,3,12,3813213,0,1,31,390,230000
202005,1507895,3,01,704745,0,1,31,409,5400
202003,1120205,3,01,8474917,0,1,31,610,200000
201806,735882,1,12,3531639,0,1,31,302,8000
201903,1515854,3,01,1264989,0,1,31,409,1000
201806,259155,1,12,7974751,0,1,31,640,5600
201904,196429,3,17,9581009,0,1,31,190,11000
201903,1836832,1,12,5102725,0,1,31,390,2400
202006,1311510,3,17,6331202,0,1,31,610,9900
202005,1475660,1,03,1835998,0,1,31,190,1000000
201901,1831438,3,12,4664313,0,1,31,301,260000
201811,366162,1,01,3050219,0,1,31,190,6400
201809,1786001,3,01,9020747,0,1,31,117,360000
201904,1537081,1,01,6716405,0,1,31,190,14000
201901,1564541,1,01,6013423,0,1,31,610,13000
202006,1447738,3,01,10006409,0,1,31,409,2700
201808,1531485,1,01,7516289,0,1,31,190,18000
202001,875598,3,12,1196790,0,1,31,640,2700
201905,1918550,3,01,3877778,0,1,31,105,27000
202001,1153937,1,12,2125529,0,1,31,490,6400
202004,509412,3,01,1266693,0,1,32,600,490000
201808,688409,1,21,9942691,0,1,31,610,2100
202006,1350001,1,01,6207552,0,1,31,190,1000000
201907,1232803,3,17,5505120,0,1,31,136,76000
202005,1652610,1,01,8724381,0,1,31,690,36000
202004,1918550,3,12,774934,0,1,31,640,24000
201902,1531485,1,12,1796710,0,1,31,640,17000
201810,700323,1,01,9714113,0,1,31,130,390000
201907,1669274,3,01,5647392,0,1,31,610,8800000
201808,1918550,3,01,535225,0,1,31,690,90000
201906,27166,1,01,1178787,0,1,31,610,200000
202001,1023171,1,01,8331689,0,1,31,190,9000
202006,523121,3,01,9023067,0,1,31,190,53000
201904,1232803,3,01,1203915,0,1,31,650,1200
201905,247649,3,12,1252471,0,1,31,301,300000
201812,830379,1,01,4291462,0,1,31,690,6300
201902,1232803,3,17,5505120,0,1,31,690,85000
201902,1609154,1,03,2443643,0,1,31,190,11000
202005,53998,1,01,1680502,0,1,31,130,160000
201908,1265468,3,17,9040331,0,1,31,610,38000
201810,1055538,1,01,2935664,0,1,31,130,210000
201808,678955,3,12,7294598,0,1,31,690,37000
201904,1134698,1,12,1772402,0,1,31,690,24000
201811,1041905,1,01,8171268,0,1,31,107,150000
202004,1187674,1,01,8236725,0,1,31,690,260000
201811,1693150,1,01,1281611,0,1,31,190,14000
201811,1883369,3,01,1055336,0,1,31,490,1000
201909,1957691,3,01,6634673,0,1,31,290,2200000
202001,488162,3,01,559570,0,1,31,130,18000
201807,1770235,1,01,925443,0,1,31,490,2200
202001,541503,3,12,8578381,0,1,31,307,13000
201908,1232803,3,01,1203915,0,1,32,718,240000
202005,919205,1,01,8324569,0,1,31,130,1000000
201901,1681573,1,01,3741570,0,1,31,610,180000
201901,54491,1,03,109646,0,1,31,190,720000
201901,1710045,3,17,9478089,0,1,31,610,5600
201811,1447738,3,05,6776375,0,1,31,490,4500
202003,1031857,1,12,3764391,0,1,31,640,4400
202003,1912559,1,01,2593767,0,1,31,610,270000
202002,1710045,3,01,2267081,0,1,31,130,68000
201905,1497222,1,01,5988716,0,1,31,690,17000
201902,1889746,1,01,2185851,0,1,31,409,1300
201903,139859,3,17,6985461,0,1,31,610,11000
201910,1118956,1,12,4387345,0,1,31,302,33000
201903,753200,1,12,7233294,0,1,31,390,5600
202002,1023171,1,01,8331689,0,1,31,610,9000
201912,1475660,1,01,7103481,0,1,31,610,47000
201911,1136373,1,01,9183696,0,1,31,107,390000
201907,24559,1,12,9364956,0,1,31,302,8000
201806,696589,1,12,1181052,0,1,31,390,19000
201909,27166,1,01,1178787,0,1,31,650,1000
202005,541503,3,12,8578381,0,1,31,640,2200
202006,1475660,1,03,1835998,0,1,31,610,1000000
201908,830379,1,12,1182489,0,1,31,390,6300
201903,562949,3,12,8807834,0,1,31,330,130000
201902,548990,1,01,8426296,0,1,31,107,1000000
201912,186139,3,12,7718444,0,1,31,390,23000
201911,521858,3,03,5526328,0,1,31,610,440000
202001,1663179,1,12,981552,0,1,31,690,12000
201906,1011062,1,12,2216822,0,1,31,390,21000
201806,1767206,3,12,582647,0,1,31,690,7700000
202002,145522,1,01,4774584,0,1,31,409,1600
202002,1918550,3,01,535225,0,1,31,610,90000
202006,1282652,3,12,2256304,0,1,31,690,8800000
201808,279645,1,03,1895219,0,1,31,106,160000
201903,1294229,1,12,1189439,0,1,31,390,11000
201811,523121,3,01,8273403,0,1,31,190,1300000
201806,1472505,3,01,8050488,0,1,31,190,77000
202005,1611369,1,03,899138,0,1,31,690,80000
201901,259155,1,12,7974751,0,1,31,390,2400
201910,44874,1,01,5000138,0,1,31,650,1600
201912,562949,3,01,3666458,0,1,31,190,470000
201812,562949,3,01,3666458,0,1,31,610,800000
201812,753200,1,12,7233294,0,1,31,302,6300
201812,1710045,3,17,9478089,0,1,31,142,6400
201910,1669274,3,12,3529421,0,1,31,610,550000
202002,1918550,3,12,13920,0,1,31,640,90000
201904,1736116,1,12,306284,0,1,31,640,46000
201807,1294229,1,01,7999952,0,1,31,190,23000
202002,1282652,3,01,8552691,0,1,31,390,240000
201905,1957691,3,10,259008,0,1,31,620,3700000
201809,1786001,3,01,1317267,0,1,31,640,180000
201806,830379,1,01,4291462,0,1,31,690,17000
201807,579293,3,12,7525614,0,1,31,690,14000
202003,1113249,1,01,3572651,0,1,31,107,120000
201907,1656281,3,01,1313819,0,1,31,190,29000
201812,1804248,1,05,1886963,0,1,31,650,1000
201912,1277348,1,12,1903721,0,1,31,390,23000
202005,1232803,3,01,1203915,0,1,31,409,3600
201910,678955,3,01,1921797,0,1,31,690,110000
201910,1957691,3,10,8214655,0,1,31,620,1400000
202002,1151833,1,01,3566978,0,1,31,105,120000
202004,1291431,1,01,7084434,0,1,31,130,16000
201810,196429,3,01,9495850,0,1,31,690,340000
201811,684744,3,01,1734438,0,1,31,690,4800
202002,145522,1,12,6727908,0,1,31,390,8000
201807,830379,1,01,4291462,0,1,31,105,16000
201902,1321668,3,01,4520449,0,1,31,610,60000
202003,24559,1,01,3127417,0,1,31,130,8000
201812,1669274,3,01,1159123,0,1,31,190,650000
201904,1425114,3,12,6801745,0,1,31,307,920000
202004,1767206,3,05,4404737,0,1,31,690,56000
