YM,JOIN_SN,JOIN_SN_TYP,SCTR_CD,COM_SN,IS_ME,LN_CD_1,LN_CD_2,LN_CD_3,LN_DT,LN_AMT,RATE_YN,RPY_CD,EXP_DT,RATE,RPY_AMT
201806,269626,1,24,7959718,0,0031,100,000,201711,2900,0,00,000000,0,0
201904,334088,1,24,2383888,0,0031,100,000,201506,2100,1,01,202006,30000,0
201912,280824,1,24,1016150,0,0031,100,000,201604,4200,0,00,000000,0,0
201809,622840,1,24,469834,0,0031,100,000,201606,2700,0,00,000000,0,0
201811,269626,1,24,9334468,0,0031,100,000,201704,3600,0,00,000000,0,0
201909,1286761,1,24,631802,0,0031,100,000,201611,2700,1,04,202111,24000,0
201905,1761685,1,24,9791443,0,0031,100,000,201506,3600,1,01,202006,30000,0
201910,323135,1,24,1360578,0,0031,100,000,201709,2200,1,01,202009,24000,0
202004,269626,1,24,9334468,0,0031,100,000,201704,3600,1,01,202204,28000,0
202003,504767,1,24,379875,0,0031,100,000,201704,3900,0,00,000000,0,0
201807,1729585,1,24,4258787,0,0031,100,000,201306,4800,0,00,000000,0,0
201909,959742,1,24,5470683,0,0031,100,000,201707,1700,0,00,000000,0,0
201807,1761685,1,24,9491145,0,0031,100,000,201506,3400,0,00,000000,0,0
202005,280824,1,24,1016150,0,0031,100,000,201805,1600,0,00,000000,0,0
201904,504767,1,24,379875,0,0031,100,000,201704,3900,0,00,000000,0,0
201808,1659916,1,24,3304284,0,0031,100,000,201703,3600,0,00,000000,0,0
201905,554793,1,24,1166480,0,0031,100,000,201508,3900,0,00,000000,0,0
201904,1286761,1,24,631802,0,0031,100,000,201611,2900,1,04,202111,24000,0
201908,959742,1,24,5470683,0,0031,100,000,201707,1700,0,00,000000,0,0
201905,322773,1,24,9961852,0,0031,100,000,201704,2100,1,01,202204,24000,0
202004,1581724,1,24,3302257,0,0031,100,000,201305,5700,0,00,000000,0,0
201901,702594,1,24,6796976,0,0031,100,000,201707,260,0,00,000000,0,0
202003,1286761,1,24,631802,0,0031,100,000,201611,2500,1,04,202111,24000,0
201806,1137569,1,24,7212253,0,0031,100,000,201711,3500,0,00,000000,0,0
202001,959742,1,24,2942287,0,0031,100,000,201705,1700,0,00,000000,0,0
201909,353990,1,24,1201246,0,0031,100,000,201110,4000,0,00,000000,0,0
201901,1133879,1,24,8317840,0,0031,100,000,201511,3300,0,00,000000,0,0
201911,1133879,1,24,8317840,0,0031,100,000,201511,3300,0,00,000000,0,0
201809,1881966,1,24,11775,0,0031,100,000,201405,3600,0,00,000000,0,0
201809,323135,1,24,1360578,0,0031,100,000,201709,2200,0,00,000000,0,0
201904,334088,1,24,9695902,0,0031,100,000,201506,2000,1,01,202006,30000,0
201912,1881526,1,24,6557059,0,0031,100,000,201711,2700,1,01,202211,28000,0
202003,686407,1,24,7605722,0,0031,100,000,201311,6600,0,00,000000,0,0
202001,1761685,1,24,9791443,0,0031,100,000,201506,3600,1,01,202006,30000,0
201906,269626,1,24,9486264,0,0031,100,000,201611,11000,1,04,202011,28000,0
201901,353990,1,24,1201246,0,0031,100,000,201110,4000,0,00,000000,0,0
201902,1384750,1,24,2106296,0,0031,100,000,201510,3600,0,00,000000,0,0
201807,1881966,1,24,11775,0,0031,100,000,201405,3600,0,00,000000,0,0
202006,1564265,1,24,585185,0,0031,100,000,201806,620,1,01,202206,24000,0
201810,702594,1,24,90681,0,0031,100,000,201704,2100,0,00,000000,0,0
201811,1286761,1,24,5269766,0,0031,100,000,201702,1400,0,00,000000,0,0
201904,1524873,1,24,7384137,0,0031,100,000,201706,3600,0,00,000000,0,0
201810,554793,1,24,1166480,0,0031,100,000,201508,3900,0,00,000000,0,0
201812,56488,1,24,5213150,0,0031,100,000,201305,9200,0,00,000000,0,0
202004,866657,1,24,9762551,0,0031,100,000,201911,5500,1,04,202009,21000,0
201908,1286761,1,24,5269766,0,0031,100,000,201903,3300,1,04,202203,24000,0
202001,1905659,1,24,2301028,0,0031,100,000,201704,3200,0,00,000000,0,0
201910,1068489,1,24,1607732,0,0031,100,000,201703,1400,1,01,202203,28000,0
201912,396184,1,24,7924814,0,0031,100,000,201709,12000,0,00,000000,0,0
201907,1133879,1,24,2079299,0,0031,100,000,201510,8800,0,00,000000,0,0
201809,1745651,1,24,7193571,0,0031,100,000,201804,18000,0,00,000000,0,0
201806,1445086,1,24,2037199,0,0031,100,000,201803,9000,0,00,000000,0,0
202002,280824,1,24,1016150,0,0031,100,000,201805,1600,0,00,000000,0,0
201808,848677,1,24,9856690,0,0031,590,000,201604,2700,0,00,000000,0,0
201909,791536,1,24,1413607,0,0031,100,000,201812,2500,1,04,202012,24000,0
201902,1650210,1,24,6749565,0,0031,100,000,201112,2500,0,00,000000,0,0
202003,624179,1,24,5453698,0,0031,100,000,201411,2600,0,00,000000,0,0
201903,1761685,1,24,9491145,0,0031,100,000,201506,2700,1,04,202106,24000,0
201811,1133879,1,24,244086,0,0031,100,000,201511,980,0,00,000000,0,0
201806,9212,1,24,4592515,0,0031,100,000,201607,1700,0,00,000000,0,0
201910,335896,1,24,1408749,0,0031,100,000,201602,3300,1,01,202102,24000,0
201903,1310402,1,24,3584816,0,0031,100,000,201902,670,0,00,000000,0,0
201811,1008217,1,24,937891,0,0031,100,000,201302,2000,0,00,000000,0,0
201905,1606164,1,24,8520866,0,0031,100,000,201711,3500,0,00,000000,0,0
201910,443249,1,24,4321277,0,0031,100,000,201709,160,1,04,201912,28000,0
201912,1729585,1,24,4258787,0,0031,100,000,201306,4800,0,00,000000,0,0
202004,1133879,1,24,2079299,0,0031,100,000,201510,8800,0,00,000000,0,0
201806,1133879,1,24,7395994,0,0031,100,000,201511,980,0,00,000000,0,0
201903,686407,1,24,7605722,0,0031,100,000,201311,6600,0,00,000000,0,0
201807,1286761,1,24,631802,0,0031,100,000,201611,3100,0,00,000000,0,0
202002,1798491,1,24,5522901,0,0031,100,000,202002,8400,1,04,202105,21000,0
201806,1286761,1,24,631802,0,0031,100,000,201611,3100,0,00,000000,0,0
202002,1133879,1,24,244086,0,0031,100,000,201511,980,0,00,000000,0,0
201808,56488,1,24,5213150,0,0031,100,000,201305,9200,0,00,000000,0,0
202006,280824,1,24,1016150,0,0031,100,000,201604,4200,0,00,000000,0,0
202004,1171182,1,24,1635955,0,0031,220,000,202003,20000,1,01,202103,19000,0
201807,443249,1,24,4321277,0,0031,100,000,201709,1100,0,00,000000,0,0
201809,280824,1,24,7819121,0,0031,100,000,201805,1800,0,00,000000,0,0
202001,1606164,1,24,8520866,0,0031,100,000,201711,3500,0,00,000000,0,0
202006,624179,1,24,5453698,0,0031,100,000,201411,2600,0,00,000000,0,0
201903,1650210,1,24,6749565,0,0031,100,000,201112,2500,0,00,000000,0,0
201806,1881966,1,24,11775,0,0031,100,000,201405,3600,0,00,000000,0,0
201906,791536,1,24,1413607,0,0031,100,000,201812,3000,1,04,202012,24000,0
201810,334088,1,24,7303469,0,0031,100,000,201506,2000,0,00,000000,0,0
201908,1133879,1,24,8317840,0,0031,100,000,201511,3300,0,00,000000,0,0
201909,56488,1,24,3941527,0,0031,510,000,201304,11000,0,00,000000,0,0
202001,959742,1,24,5470683,0,0031,100,000,201707,1600,0,00,000000,0,0
201909,720252,1,24,3180725,0,0031,100,000,201603,4200,1,01,202103,30000,0
201812,1430052,1,24,2309165,0,0031,100,000,201606,3900,0,00,000000,0,0
201810,334088,1,24,2383888,0,0031,100,000,201506,2100,0,00,000000,0,0
201810,1650210,1,24,6749565,0,0031,100,000,201112,2500,0,00,000000,0,0
202001,1761685,1,24,9491145,0,0031,100,000,201506,1900,1,04,202106,24000,0
202002,311430,1,24,3036472,0,0031,100,000,201908,2700,1,01,202207,24000,0
201911,53824,1,24,8132755,0,0031,100,000,201708,5200,1,01,202008,28000,0
201808,761053,1,24,8352905,0,0031,100,000,201708,6600,0,00,000000,0,0
201808,334088,1,24,2383888,0,0031,100,000,201506,2100,0,00,000000,0,0
202002,1133879,1,24,8317840,0,0031,100,000,201511,3300,0,00,000000,0,0
201909,702594,1,24,90681,0,0031,100,000,201704,2100,1,01,202004,28000,0
202004,53824,1,24,8132755,0,0031,100,000,201708,5200,1,01,202008,28000,0
201910,334088,1,24,7303469,0,0031,100,000,201506,2000,1,01,202006,30000,0
201812,959742,1,24,6362821,0,0031,100,000,201704,1800,0,00,000000,0,0
201911,353990,1,24,1201246,0,0031,100,000,201110,4000,0,00,000000,0,0
202002,848677,1,24,2065979,0,0031,590,000,201604,2700,0,00,000000,0,0
201903,702594,1,24,8907969,0,0031,100,000,201802,2800,1,01,202002,24000,0
201902,720252,1,24,4999296,0,0031,100,000,201605,1400,0,00,000000,0,0
202006,1171182,1,24,1635955,0,0031,220,000,202003,20000,1,01,202103,19000,0
201906,323135,1,24,1360578,0,0031,100,000,201709,2200,1,01,201909,24000,0
201904,702594,1,24,8907969,0,0031,100,000,201802,2800,1,01,202002,24000,0
201912,53824,1,24,8132755,0,0031,100,000,201708,5200,1,01,202008,28000,0
201906,1623275,1,24,1772731,0,0031,100,000,201309,7600,0,00,000000,0,0
201810,1445086,1,24,2037199,0,0031,100,000,201803,9000,0,00,000000,0,0
201901,9212,1,24,4592515,0,0031,100,000,201607,1700,0,00,000000,0,0
201811,1881966,1,24,11775,0,0031,100,000,201405,3600,0,00,000000,0,0
201901,335896,1,24,1408749,0,0031,100,000,201602,3300,0,00,000000,0,0
201909,433575,1,24,5561252,0,0031,100,000,201701,20000,0,00,000000,0,0
201808,1832382,1,24,3976526,0,0031,100,000,201001,430,0,00,000000,0,0
201912,280824,1,24,1016150,0,0031,100,000,201805,1600,0,00,000000,0,0
202003,1068489,1,24,1607732,0,0031,100,000,201703,1400,1,01,202203,28000,0
201911,311430,1,24,3036472,0,0031,100,000,201908,2700,1,01,202207,24000,0
202002,1008217,1,24,937891,0,0031,100,000,201302,2000,0,00,000000,0,0
202005,396184,1,24,7924814,0,0031,100,000,201709,11000,0,00,000000,0,0
201809,1445086,1,24,9741399,0,0031,100,000,201707,5300,0,00,000000,0,0
201912,848677,1,24,2065979,0,0031,590,000,201604,2700,0,00,000000,0,0
201902,1761685,1,24,9791443,0,0031,100,000,201506,3600,0,00,000000,0,0
201807,504767,1,24,4711123,0,0031,100,000,201704,2600,0,00,000000,0,0
202004,334088,1,24,2383888,0,0031,100,000,201506,2100,1,01,202006,30000,0
201909,1068489,1,24,1607732,0,0031,100,000,201703,1500,1,01,202203,28000,0
201912,335896,1,24,1408749,0,0031,100,000,201602,3300,1,01,202102,24000,0
201902,532397,1,24,7478128,0,0031,100,000,201001,3100,0,00,000000,0,0
201810,1310402,1,24,3584816,0,0031,100,000,201808,1500,0,00,000000,0,0
201912,720252,1,24,3180725,0,0031,100,000,201603,4200,1,01,202103,30000,0
201910,353990,1,24,1201246,0,0031,100,000,201110,4000,0,00,000000,0,0
201810,720252,1,24,4999296,0,0031,100,000,201605,1400,0,00,000000,0,0
202005,334088,1,24,2383888,0,0031,100,000,201506,2100,1,01,202006,30000,0
201808,1761685,1,24,9491145,0,0031,100,000,201506,3200,0,00,000000,0,0
201911,1650210,1,24,6749565,0,0031,100,000,201112,2500,0,00,000000,0,0
201807,1761685,1,24,9791443,0,0031,100,000,201506,3600,0,00,000000,0,0
202006,1581724,1,24,862208,0,0031,100,000,202003,2900,1,01,202503,24000,0
202003,353990,1,24,1201246,0,0031,100,000,201110,4000,0,00,000000,0,0
202002,379568,1,24,109669,0,0031,100,000,201810,3500,0,00,000000,0,0
201907,959742,1,24,6362821,0,0031,100,000,201704,1800,0,00,000000,0,0
201807,1286761,1,24,5269766,0,0031,100,000,201702,1600,0,00,000000,0,0
201906,959742,1,24,6362821,0,0031,100,000,201704,1800,0,00,000000,0,0
201903,443249,1,24,4321277,0,0031,100,000,201709,640,0,00,000000,0,0
202006,1524873,1,24,7384137,0,0031,100,000,201706,3600,1,01,202106,24000,0
201809,1761685,1,24,9491145,0,0031,100,000,201506,3200,0,00,000000,0,0
201806,334088,1,24,2383888,0,0031,100,000,201506,2100,0,00,000000,0,0
201912,686407,1,24,7605722,0,0031,100,000,201311,6600,0,00,000000,0,0
201908,280824,1,24,7819121,0,0031,100,000,201805,1800,0,00,000000,0,0
201812,1745651,1,24,7193571,0,0031,100,000,201804,18000,0,00,000000,0,0
201903,1137569,1,24,7212253,0,0031,100,000,201711,3500,0,00,000000,0,0
201809,1286761,1,24,631802,0,0031,100,000,201611,3100,0,00,000000,0,0
201810,1133879,1,24,7395994,0,0031,100,000,201511,980,0,00,000000,0,0
201906,1745651,1,24,4086541,0,0031,100,000,201904,6000,1,01,202404,24000,0
202006,1606164,1,24,4084087,0,0031,100,000,201711,3500,0,00,000000,0,0
201901,1008217,1,24,6135237,0,0031,100,000,201606,780,0,00,000000,0,0
201903,1623275,1,24,1772731,0,0031,100,000,201309,7600,0,00,000000,0,0
201906,379568,1,24,109669,0,0031,100,000,201810,5200,0,00,000000,0,0
201911,1881526,1,24,6557059,0,0031,100,000,201711,2700,1,01,202211,28000,0
201902,848677,1,24,9856690,0,0031,590,000,201604,2700,0,00,000000,0,0
201907,702594,1,24,8907969,0,0031,100,000,201802,2800,0,00,000000,0,0
201912,866657,1,24,9762551,0,0031,100,000,201911,5700,1,04,202009,21000,0
202002,1650210,1,24,6749565,0,0031,100,000,201112,2500,0,00,000000,0,0
201907,1564265,1,24,585185,0,0031,100,000,201806,630,1,01,202006,24000,0
202002,280824,1,24,1016150,0,0031,100,000,201604,4200,0,00,000000,0,0
201808,335896,1,24,1408749,0,0031,100,000,201602,3300,0,00,000000,0,0
201902,720252,1,24,3180725,0,0031,100,000,201603,4200,0,00,000000,0,0
202005,1606164,1,24,4084087,0,0031,100,000,201711,3500,0,00,000000,0,0
201812,1524873,1,24,7384137,0,0031,100,000,201706,3600,0,00,000000,0,0
201907,334088,1,24,7303469,0,0031,100,000,201506,2000,1,01,202006,30000,0
201806,196289,1,24,3445132,0,0031,100,000,201706,1400,0,00,000000,0,0
201907,1623275,1,24,1772731,0,0031,100,000,201309,7600,0,00,000000,0,0
201811,720252,1,24,3180725,0,0031,100,000,201603,4300,0,00,000000,0,0
202001,322773,1,24,9961852,0,0031,100,000,201704,2100,1,01,202204,24000,0
201911,443249,1,24,4321277,0,0031,100,000,201709,100,1,04,201912,28000,0
201912,1286761,1,24,5269766,0,0031,100,000,201903,3100,1,04,202203,24000,0
201904,1137569,1,24,7212253,0,0031,100,000,201711,3500,0,00,000000,0,0
201907,323135,1,24,987722,0,0031,100,000,201410,2400,0,00,000000,0,0
201902,959742,1,24,2942287,0,0031,100,000,201705,1700,0,00,000000,0,0
201904,1068489,1,24,1607732,0,0031,100,000,201703,1500,0,00,000000,0,0
201809,334088,1,24,9695902,0,0031,100,000,201506,2000,0,00,000000,0,0
201903,323135,1,24,1360578,0,0031,100,000,201709,2200,0,00,000000,0,0
202006,1881966,1,24,11775,0,0031,100,000,201405,3600,0,00,000000,0,0
201806,269626,1,24,9334468,0,0031,100,000,201704,3600,0,00,000000,0,0
201906,1286761,1,24,5269766,0,0031,100,000,201903,3400,1,04,202203,24000,0
201806,1068489,1,24,1607732,0,0031,100,000,201703,1500,0,00,000000,0,0
202004,1008217,1,24,6135237,0,0031,100,000,201606,780,0,00,000000,0,0
201902,334088,1,24,2383888,0,0031,100,000,201506,2100,0,00,000000,0,0
201811,959742,1,24,6362821,0,0031,100,000,201704,1800,0,00,000000,0,0
201912,1581724,1,24,3302257,0,0031,100,000,201305,5700,0,00,000000,0,0
202001,1384750,1,24,2106296,0,0031,100,000,201510,3600,1,01,202010,30000,0
201901,1881526,1,24,6557059,0,0031,100,000,201711,2700,0,00,000000,0,0
201806,323135,1,24,1360578,0,0031,100,000,201709,2200,0,00,000000,0,0
201905,761053,1,24,8352905,0,0031,100,000,201708,6500,1,01,202208,28000,0
201809,532397,1,24,7478128,0,0031,100,000,201001,3100,0,00,000000,0,0
201905,791536,1,24,1413607,0,0031,100,000,201812,3200,1,04,202012,24000,0
201907,269626,1,24,9486264,0,0031,100,000,201611,11000,1,04,202011,28000,0
201810,1384750,1,24,2106296,0,0031,100,000,201510,3600,0,00,000000,0,0
201905,1881526,1,24,6557059,0,0031,100,000,201711,2700,1,01,202211,28000,0
201811,1881526,1,24,6557059,0,0031,100,000,201711,2700,0,00,000000,0,0
201911,323135,1,24,1360578,0,0031,100,000,201709,2200,1,01,202009,24000,0
202002,334088,1,24,2383888,0,0031,100,000,201506,2100,1,01,202006,30000,0
201806,1564265,1,24,585185,0,0031,100,000,201806,630,0,00,000000,0,0
202004,56488,1,24,5213150,0,0031,100,000,201305,9200,0,00,000000,0,0
201907,1745651,1,24,4086541,0,0031,100,000,201904,8400,1,01,202404,24000,0
201807,1659916,1,24,3304284,0,0031,100,000,201703,3600,0,00,000000,0,0
202005,379568,1,24,109669,0,0031,100,000,201810,3500,0,00,000000,0,0
201905,1832382,1,24,3976526,0,0031,100,000,201001,430,0,00,000000,0,0
201807,1133879,1,24,8317840,0,0031,100,000,201511,3300,0,00,000000,0,0
202002,1286761,1,24,5269766,0,0031,100,000,201903,3000,1,04,202203,24000,0
201904,1729585,1,24,4258787,0,0031,100,000,201306,4800,0,00,000000,0,0
201904,1564265,1,24,585185,0,0031,100,000,201806,630,1,01,201906,24000,0
201906,56488,1,24,5213150,0,0031,100,000,201305,9200,0,00,000000,0,0
202005,634688,1,24,3488168,0,0031,100,000,202004,800,1,01,202504,24000,0
201901,1310402,1,24,3584816,0,0031,100,000,201808,950,0,00,000000,0,0
201904,53824,1,24,8132755,0,0031,100,000,201708,5200,0,00,000000,0,0
201806,1133879,1,24,8317840,0,0031,100,000,201511,3300,0,00,000000,0,0
202003,433575,1,24,5561252,0,0031,100,000,201701,20000,0,00,000000,0,0
201902,269626,1,24,9334468,0,0031,100,000,201704,3600,0,00,000000,0,0
202001,379568,1,24,109669,0,0031,100,000,201810,3500,0,00,000000,0,0
201905,53824,1,24,8132755,0,0031,100,000,201708,5200,0,00,000000,0,0
202003,56488,1,24,5213150,0,0031,100,000,201305,9200,0,00,000000,0,0
201901,323135,1,24,987722,0,0031,100,000,201410,2400,0,00,000000,0,0
201811,1745651,1,24,7193571,0,0031,100,000,201804,18000,0,00,000000,0,0
201811,1008217,1,24,6135237,0,0031,100,000,201606,780,0,00,000000,0,0
201911,1133879,1,24,244086,0,0031,100,000,201511,980,0,00,000000,0,0
201908,334088,1,24,7303469,0,0031,100,000,201506,2000,1,01,202006,30000,0
201811,702594,1,24,6796976,0,0031,100,000,201707,410,0,00,000000,0,0
201902,1137569,1,24,7212253,0,0031,100,000,201711,3500,0,00,000000,0,0
201901,1445086,1,24,2037199,0,0031,100,000,201803,9000,0,00,000000,0,0
201912,334088,1,24,7303469,0,0031,100,000,201506,2000,1,01,202006,30000,0
201812,1286761,1,24,631802,0,0031,100,000,201611,3100,0,00,000000,0,0
201908,323135,1,24,987722,0,0031,100,000,201410,2400,0,00,000000,0,0
201911,866657,1,24,9762551,0,0031,100,000,201911,6300,1,04,202009,21000,0
201902,196289,1,24,3445132,0,0031,100,000,201706,260,0,00,000000,0,0
201812,720252,1,24,4999296,0,0031,100,000,201605,1400,0,00,000000,0,0
201809,702594,1,24,90681,0,0031,100,000,201704,2100,0,00,000000,0,0
201812,280824,1,24,7819121,0,0031,100,000,201604,5400,0,00,000000,0,0
202005,322773,1,24,9961852,0,0031,100,000,201704,2100,1,01,202204,24000,0
202002,1660610,1,24,6179068,0,0031,100,000,201911,1100,1,01,202411,24000,0
201812,1581724,1,24,3302257,0,0031,100,000,201305,5700,0,00,000000,0,0
201901,1524873,1,24,7384137,0,0031,100,000,201706,3600,0,00,000000,0,0
202005,1133879,1,24,244086,0,0031,100,000,201511,980,0,00,000000,0,0
202005,1660610,1,24,6179068,0,0031,100,000,201911,1100,1,01,202411,24000,0
201911,1286761,1,24,5269766,0,0031,100,000,201903,3100,1,04,202203,24000,0
201907,720252,1,24,4999296,0,0031,100,000,201605,1400,1,01,202105,28000,0
201911,1905659,1,24,2301028,0,0031,100,000,201704,3200,0,00,000000,0,0
201811,322773,1,24,9961852,0,0031,100,000,201704,2100,0,00,000000,0,0
201903,504767,1,24,379875,0,0031,100,000,201704,3900,0,00,000000,0,0
202002,1286761,1,24,631802,0,0031,100,000,201611,2600,1,04,202111,24000,0
202006,1133879,1,24,8317840,0,0031,100,000,201511,3300,0,00,000000,0,0
201808,1564265,1,24,585185,0,0031,100,000,201806,630,0,00,000000,0,0
201904,1745651,1,24,4086541,0,0031,100,000,201904,6000,1,01,202404,24000,0
201809,959742,1,24,3005532,0,0031,100,000,201705,1700,0,00,000000,0,0
201910,1729585,1,24,4258787,0,0031,100,000,201306,4800,0,00,000000,0,0
201912,1761685,1,24,9791443,0,0031,100,000,201506,3600,1,01,202006,30000,0
201812,1905659,1,24,2301028,0,0031,100,000,201704,3200,0,00,000000,0,0
202004,1606164,1,24,4084087,0,0031,100,000,201711,3500,0,00,000000,0,0
201811,791536,1,24,1413607,0,0031,100,000,201804,2800,0,00,000000,0,0
201902,761053,1,24,8352905,0,0031,100,000,201708,6600,0,00,000000,0,0
201908,335896,1,24,1408749,0,0031,100,000,201602,3300,1,01,202102,24000,0
202002,1262254,1,24,8372514,0,0031,100,000,201910,3800,1,04,202106,24000,0
201907,1445086,1,24,2037199,0,0031,100,000,201803,9000,1,01,202103,24000,0
201909,280824,1,24,7819121,0,0031,100,000,201604,5400,0,00,000000,0,0
202001,1881966,1,24,11775,0,0031,100,000,201405,3600,0,00,000000,0,0
201907,323135,1,24,1360578,0,0031,100,000,201709,2200,1,01,201909,24000,0
201807,1068489,1,24,1607732,0,0031,100,000,201703,1500,0,00,000000,0,0
202005,1524873,1,24,7384137,0,0031,100,000,201706,3600,1,01,202106,24000,0
201909,1905659,1,24,2301028,0,0031,100,000,201704,3200,0,00,000000,0,0
201806,622840,1,24,469834,0,0031,100,000,201606,2700,0,00,000000,0,0
201912,1384750,1,24,2106296,0,0031,100,000,201510,3600,1,01,202010,30000,0
201904,1881526,1,24,6557059,0,0031,100,000,201711,2700,1,01,202211,28000,0
201808,702594,1,24,6796976,0,0031,100,000,201707,620,0,00,000000,0,0
201909,1745651,1,24,4086541,0,0031,100,000,201904,8300,1,01,202404,24000,0
201810,959742,1,24,5470683,0,0031,100,000,201707,2500,0,00,000000,0,0
202004,1581724,1,24,862208,0,0031,100,000,202003,2900,1,01,202503,24000,0
202005,1832382,1,24,3976526,0,0031,100,000,201001,430,0,00,000000,0,0
202001,334088,1,24,2383888,0,0031,100,000,201506,2100,1,01,202006,30000,0
202004,1300052,1,24,65011,0,0031,100,000,201611,3600,1,01,202111,28000,0
202005,1581724,1,24,862208,0,0031,100,000,202003,2900,1,01,202503,24000,0
201910,1286761,1,24,631802,0,0031,100,000,201611,2700,1,04,202111,24000,0
201910,280824,1,24,7819121,0,0031,100,000,201805,1800,0,00,000000,0,0
202001,1300052,1,24,65011,0,0031,100,000,201611,3600,1,01,202111,28000,0
201911,1068489,1,24,1607732,0,0031,100,000,201703,1400,1,01,202203,28000,0
201908,1300052,1,24,4439531,0,0031,100,000,201603,9100,0,00,000000,0,0
201901,269626,1,24,9334468,0,0031,100,000,201704,3600,0,00,000000,0,0
201912,959742,1,24,2942287,0,0031,100,000,201705,1700,0,00,000000,0,0
201806,686407,1,24,7605722,0,0031,100,000,201311,6600,0,00,000000,0,0
201912,1660610,1,24,6179068,0,0031,100,000,201911,1100,1,01,202411,24000,0
201908,1905659,1,24,2301028,0,0031,100,000,201704,3200,0,00,000000,0,0
202002,1745651,1,24,4086541,0,0031,100,000,201904,7800,1,01,202404,24000,0
202002,1881966,1,24,11775,0,0031,100,000,201405,3600,0,00,000000,0,0
201903,959742,1,24,5470683,0,0031,100,000,201707,2100,0,00,000000,0,0
202001,504767,1,24,379875,0,0031,100,000,201704,3900,0,00,000000,0,0
201902,1286761,1,24,5269766,0,0031,100,000,201812,1300,0,00,000000,0,0
201910,554793,1,24,1166480,0,0031,100,000,201508,3900,1,01,202008,24000,0
201911,504767,1,24,4711123,0,0031,100,000,201704,2600,0,00,000000,0,0
201807,1623275,1,24,1772731,0,0031,100,000,201309,7600,0,00,000000,0,0
201807,720252,1,24,4999296,0,0031,100,000,201605,1400,0,00,000000,0,0
202001,1885781,1,24,7387616,0,0031,100,000,201808,13000,1,04,202303,24000,0
201810,353990,1,24,1201246,0,0031,100,000,201110,4000,0,00,000000,0,0
201812,1068489,1,24,1607732,0,0031,100,000,201703,1500,0,00,000000,0,0
202004,1832382,1,24,3976526,0,0031,100,000,201001,430,0,00,000000,0,0
202004,504767,1,24,9824613,0,0031,100,000,201704,2600,0,00,000000,0,0
201904,1300052,1,24,4439531,0,0031,100,000,201603,9100,0,00,000000,0,0
202003,1300052,1,24,65011,0,0031,100,000,201611,3600,1,01,202111,28000,0
201906,1729585,1,24,4258787,0,0031,100,000,201306,4800,0,00,000000,0,0
201812,323135,1,24,987722,0,0031,100,000,201410,2400,0,00,000000,0,0
201904,622840,1,24,469834,0,0031,100,000,201606,2700,1,01,202106,28000,0
201906,1832382,1,24,3976526,0,0031,100,000,201001,430,0,00,000000,0,0
201910,396184,1,24,7924814,0,0031,100,000,201709,12000,0,00,000000,0,0
201809,334088,1,24,2383888,0,0031,100,000,201506,2100,0,00,000000,0,0
202006,1944543,1,24,4472270,0,0031,100,000,201904,2600,0,00,000000,0,0
